"","city","date","year","month","day","all","accid","renal","resp","cerebrov","cardio","all_male","all_female","all_above85y","all_7584y","all_6574y","all_below64y","tmax","tdew","tmean","tmin","relhum","dtmax","ntmin","x","y","no2","o3","pm10"
"20821","Basel",1995-01-01,1995,1,1,7,0,0,2,1,1,5,2,4,0,3,0,4.8,1.86666666666667,2.6,0.1,75,4.3,3.2,610911,265600,9.801274435,66.65449044,7.31
"20822","Basel",1995-01-02,1995,1,2,5,0,0,1,0,0,2,3,2,1,2,0,0.8,-6.45,-0.5,-1.6,79.1,-0.1,-1.5,610911,265600,10.35350033,64.22408865,20.210001
"20823","Basel",1995-01-03,1995,1,3,4,0,0,1,0,1,1,3,3,0,1,0,-0.1,-1.48333333333333,-1.5,-6.1,87.3,0.4,-2.5,610911,265600,36.35046403,39.945622,22.446001
"20824","Basel",1995-01-04,1995,1,4,11,0,0,2,1,3,7,4,4,4,1,2,-2.9,-8.4,-5,-7.2,80.8,-2.5,-6.7,610911,265600,46.64680733,22.14994093,25.284
"20825","Basel",1995-01-05,1995,1,5,7,0,0,0,0,1,1,6,1,2,2,2,-5.2,-11.5333333333333,-6.6,-9.8,72.7,-4.9,-7.6,610911,265600,43.22039602,35.59135915,30.615999
"20826","Basel",1995-01-06,1995,1,6,6,0,0,1,0,3,2,4,0,2,1,3,-4.3,-8.28333333333333,-6.8,-10,75.7,-4.2,-10,610911,265600,60.98597416,17.92871156,55.384003
"20827","Basel",1995-01-07,1995,1,7,4,0,0,1,0,2,1,3,2,1,1,0,-1,-2.85,-3.4,-6.4,88.2,-1.2,-6.7,610911,265600,67.73088424,9.71138626,76.110001
"20828","Basel",1995-01-08,1995,1,8,3,0,0,0,0,2,1,2,1,1,1,0,-1.8,-4.75,-2.8,-4,88.7,-1.4,-3.4,610911,265600,60.6531813,14.50056365,78.001999
"20829","Basel",1995-01-09,1995,1,9,5,0,0,0,0,3,0,5,3,1,1,0,2.1,-0.666666666666667,-0.5,-3.2,90.9,1.1,-3.3,610911,265600,53.08686956,42.80582389,50.052002
"20830","Basel",1995-01-10,1995,1,10,9,0,0,0,1,2,1,8,5,2,0,2,5.4,2.83333333333333,4.3,3,82.3,5.5,0.9,610911,265600,14.65103695,66.81822557,6.794
"20831","Basel",1995-01-11,1995,1,11,4,0,0,0,0,1,2,2,1,2,0,1,7.6,5.75,3.8,0.9,76.8,7.8,3,610911,265600,18.18264817,60.99548696,8.514
"20832","Basel",1995-01-12,1995,1,12,5,0,0,1,1,2,2,3,1,2,0,2,1.2,-2.28333333333333,0.7,-0.9,79.2,1.4,0.1,610911,265600,21.41936714,54.97319714,14.533999
"20833","Basel",1995-01-13,1995,1,13,4,0,0,1,0,3,2,2,1,1,0,2,0,-6.01666666666667,-1.6,-5.4,76.6,0.5,-1.7,610911,265600,35.99222717,45.86557599,22.704
"20834","Basel",1995-01-14,1995,1,14,3,0,0,0,0,0,1,2,1,0,1,1,-0.7,-7.01666666666667,-4.3,-7.8,78.3,-0.6,-7.2,610911,265600,51.60439736,30.50029971,34.142002
"20835","Basel",1995-01-15,1995,1,15,5,1,0,0,0,2,3,2,2,1,2,0,1.3,-5.88333333333333,-1.7,-4,74.9,1.5,-4,610911,265600,57.45870854,27.97268053,45.494003
"20836","Basel",1995-01-16,1995,1,16,11,0,0,1,1,4,3,8,3,5,2,1,0.6,-4.65,-2.5,-5.1,83,0.7,-5.1,610911,265600,61.11811328,18.06174504,56.501999
"20837","Basel",1995-01-17,1995,1,17,6,0,0,2,1,2,4,2,3,2,0,1,1.1,-3.91666666666667,-2.3,-4.3,81.6,1.4,-4.3,610911,265600,69.1343058,16.29650367,54.265999
"20838","Basel",1995-01-18,1995,1,18,5,0,0,0,1,3,1,4,1,1,2,1,1.6,1.18333333333333,-1.1,-4.6,86.3,0.6,-4.6,610911,265600,72.06276927,2.113173403,52.9759979999999
"20839","Basel",1995-01-19,1995,1,19,5,0,0,0,0,2,3,2,1,1,1,2,6.9,-0.633333333333333,3.1,1,83.5,7.3,0.3,610911,265600,64.07923074,60.06937303,25.370001
