X,city,date,year,month,day,all,accid,renal,resp,cerebrov,cardio,all_male,all_female,all_above85y,all_7584y,all_6574y,all_below64y,tmax,tdew,tmean,tmin,relhum,dtmax,ntmin,x,y,no2,o3,pm10,all_above64y,pm10_MA_2,pm10_MA_5,pm10_MA_10,no2_MA_2,o3_MA_2,relhum_MA_2,heat_90,heat_95,heat_90_no,heat_95_no,dow
20821,Basel,1995-01-01,1995,1,1,7,0,0,2,1,1,5,2,4,0,3,0,4.8,1.86666666666667,2.6,0.1,75,4.3,3.2,610911,265600,9.801274435,66.65449044,7.31,7,NA,NA,NA,NA,NA,NA,1,1,0,0,1
20822,Basel,1995-01-02,1995,1,2,5,0,0,1,0,0,2,3,2,1,2,0,0.8,-6.45,-0.5,-1.6,79.1,-0.1,-1.5,610911,265600,10.35350033,64.22408865,20.210001,5,13.760000499999999,NA,NA,10.0773873825,65.43928954500001,77.05,1,1,0,0,2
20823,Basel,1995-01-03,1995,1,3,4,0,0,1,0,1,1,3,3,0,1,0,-0.1,-1.48333333333333,-1.5,-6.1,87.3,0.4,-2.5,610911,265600,36.35046403,39.945622,22.446001,4,21.328001,NA,NA,23.35198218,52.084855325,83.19999999999999,1,1,0,0,3
20824,Basel,1995-01-04,1995,1,4,11,0,0,2,1,3,7,4,4,4,1,2,-2.9,-8.4,-5,-7.2,80.8,-2.5,-6.7,610911,265600,46.64680733,22.14994093,25.284,9,23.8650005,NA,NA,41.49863568,31.047781465,84.04999999999998,1,1,0,0,4
20825,Basel,1995-01-05,1995,1,5,7,0,0,0,0,1,1,6,1,2,2,2,-5.2,-11.5333333333333,-6.6,-9.8,72.7,-4.9,-7.6,610911,265600,43.22039602,35.59135915,30.615999,5,27.949999499999997,21.1732002,NA,44.933601675000006,28.87065004,76.74999999999999,1,1,0,0,5
20826,Basel,1995-01-06,1995,1,6,6,0,0,1,0,3,2,4,0,2,1,3,-4.3,-8.28333333333333,-6.8,-10,75.7,-4.2,-10,610911,265600,60.98597416,17.92871156,55.384003,3,43.000001,30.7880008,NA,52.10318509,26.760035355,74.19999999999999,1,1,0,0,6
20827,Basel,1995-01-07,1995,1,7,4,0,0,1,0,2,1,3,2,1,1,0,-1,-2.85,-3.4,-6.4,88.2,-1.2,-6.7,610911,265600,67.73088424,9.71138626,76.110001,4,65.747002,41.9680008,NA,64.35842919999999,13.82004891,81.94999999999999,1,1,0,0,7
20828,Basel,1995-01-08,1995,1,8,3,0,0,0,0,2,1,2,1,1,1,0,-1.8,-4.75,-2.8,-4,88.7,-1.4,-3.4,610911,265600,60.6531813,14.50056365,78.001999,3,77.056,53.0792004,NA,64.19203277,12.105974955,88.44999999999999,1,1,0,0,1
20829,Basel,1995-01-09,1995,1,9,5,0,0,0,0,3,0,5,3,1,1,0,2.1,-0.666666666666667,-0.5,-3.2,90.9,1.1,-3.3,610911,265600,53.08686956,42.80582389,50.052002,5,64.0270005,58.0328008,NA,56.87002543,28.65319377,89.79999999999998,1,1,0,0,2
20830,Basel,1995-01-10,1995,1,10,9,0,0,0,1,2,1,8,5,2,0,2,5.4,2.83333333333333,4.3,3,82.3,5.5,0.9,610911,265600,14.65103695,66.81822557,6.794,7,28.423001,53.268401,37.2208006,33.868953254999994,54.81202473,86.59999999999998,1,1,0,0,3
20831,Basel,1995-01-11,1995,1,11,4,0,0,0,0,1,2,2,1,2,0,1,7.6,5.75,3.8,0.9,76.8,7.8,3,610911,265600,18.18264817,60.99548696,8.514,3,7.654,43.8944004,37.3412006,16.41684256,63.906856265,79.54999999999998,1,1,0,0,4
20832,Basel,1995-01-12,1995,1,12,5,0,0,1,1,2,2,3,1,2,0,2,1.2,-2.28333333333333,0.7,-0.9,79.2,1.4,0.1,610911,265600,21.41936714,54.97319714,14.533999,3,11.523999499999999,31.5792,36.7736004,19.801007655,57.98434205,77.99999999999999,1,1,0,0,5
20833,Basel,1995-01-13,1995,1,13,4,0,0,1,0,3,2,2,1,1,0,2,0,-6.01666666666667,-1.6,-5.4,76.6,0.5,-1.7,610911,265600,35.99222717,45.86557599,22.704,2,18.6189995,20.5196002,36.7994003,28.705797155,50.419386565,77.89999999999998,1,1,0,0,6
20834,Basel,1995-01-14,1995,1,14,3,0,0,0,0,0,1,2,1,0,1,1,-0.7,-7.01666666666667,-4.3,-7.8,78.3,-0.6,-7.2,610911,265600,51.60439736,30.50029971,34.142002,2,28.423001,17.3376002,37.6852005,43.798312265,38.18293785,77.44999999999997,1,1,0,0,7
20835,Basel,1995-01-15,1995,1,15,5,1,0,0,0,2,3,2,2,1,2,0,1.3,-5.88333333333333,-1.7,-4,74.9,1.5,-4,610911,265600,57.45870854,27.97268053,45.494003,5,39.8180025,25.0776008,39.1730009,54.531552950000005,29.23649012,76.59999999999998,1,1,0,0,1
20836,Basel,1995-01-16,1995,1,16,11,0,0,1,1,4,3,8,3,5,2,1,0.6,-4.65,-2.5,-5.1,83,0.7,-5.1,610911,265600,61.11811328,18.06174504,56.501999,10,50.998001,34.6752006,39.284800499999996,59.28841091,23.017212785,78.94999999999999,1,1,0,0,2
20837,Basel,1995-01-17,1995,1,17,6,0,0,2,1,2,4,2,3,2,0,1,1.1,-3.91666666666667,-2.3,-4.3,81.6,1.4,-4.3,610911,265600,69.1343058,16.29650367,54.265999,5,55.383999,42.6216006,37.1004003,65.12620954,17.179124355,82.29999999999998,1,1,0,0,3
20838,Basel,1995-01-18,1995,1,18,5,0,0,0,1,3,1,4,1,1,2,1,1.6,1.18333333333333,-1.1,-4.6,86.3,0.6,-4.6,610911,265600,72.06276927,2.113173403,52.9759979999999,4,53.62099849999995,48.676000199999976,34.59780019999999,70.598537535,9.204838536499999,83.94999999999999,1,1,0,0,4
20839,Basel,1995-01-19,1995,1,19,5,0,0,0,0,2,3,2,1,1,1,2,6.9,-0.633333333333333,3.1,1,83.5,7.3,0.3,610911,265600,64.07923074,60.06937303,25.370001,3,39.172999499999946,46.92159999999998,32.12960009999999,68.071000005,31.0912732165,84.89999999999999,1,1,0,0,5
20840,Basel,1995-01-20,1995,1,20,8,1,0,0,2,6,3,5,4,1,2,1,5.6,-0.95,3.1,1.8,80.8,5.6,2,610911,265600,57.57109884,27.80894839,27.004,7,26.1870005,43.223599399999976,34.15060009999999,60.82516479,43.93916071,82.14999999999999,1,1,0,0,6
20841,Basel,1995-01-21,1995,1,21,10,0,1,0,1,4,1,9,4,2,1,3,9.5,-3.2,3.4,0.2,84,6.3,0.5,610911,265600,50.71089985,75.82862534,21.844,7,24.424,36.29199959999998,35.48360009999999,54.140999345,51.818786865,82.39999999999999,1,1,0,0,7
20842,Basel,1995-01-22,1995,1,22,9,0,0,0,0,4,5,4,3,3,2,1,14.5,2.58333333333333,10.4,6.4,61.9,12.5,2.9,610911,265600,6.731295725,78.69395264,4.472,8,13.158000000000001,26.33319979999998,34.47740019999999,28.7210977875,77.26128899,72.94999999999999,1,1,0,0,1
20843,Basel,1995-01-23,1995,1,23,9,0,0,0,0,1,1,8,4,2,2,1,14.5,2.68333333333333,8.6,3.4,73.2,12.4,11.9,610911,265600,9.282393399,75.30161683,4.386,8,4.429,16.6152002,32.64560019999999,8.006844562,76.99778473500001,67.54999999999998,1,1,0,0,2
20844,Basel,1995-01-24,1995,1,24,5,0,0,0,0,3,2,3,3,1,1,0,6.6,-1.15,4.5,2.4,70.4,6.8,2.5,610911,265600,15.18275954,71.63810161,8.858001,5,6.6220005,13.3128002,30.11720009999999,12.2325764695,73.46985922,71.79999999999998,1,1,0,0,3
20845,Basel,1995-01-25,1995,1,25,9,0,0,1,0,2,5,4,2,2,5,0,13.4,7.06666666666667,10,2.2,75.5,13.6,2.2,610911,265600,16.39365213,63.69195772,7.826001,9,8.342001,9.477200400000001,26.35039989999999,15.788205835,67.665029665,72.94999999999999,1,1,0,0,4
20846,Basel,1995-01-26,1995,1,26,1,0,0,0,0,1,1,0,1,0,0,0,13.8,2.5,10.4,3.9,58.9,14,11,610911,265600,12.5244084,76.36076724,7.998,1,7.9120004999999995,6.7080004,21.499999999999993,14.459030264999999,70.02636248,67.19999999999999,1,1,0,0,5
20847,Basel,1995-01-27,1995,1,27,15,1,0,0,1,8,4,11,6,6,2,1,5.1,-4.11666666666667,2.9,0.6,67.2,5.3,1.8,610911,265600,24.66275513,65.19113512,12.212,14,10.105,8.2560004,17.29460009999999,18.593581765,70.77595117999999,63.04999999999999,1,1,0,0,6
20848,Basel,1995-01-28,1995,1,28,8,0,0,1,0,5,5,3,4,1,0,3,11.3,2.6,7.9,2.2,68.2,11.7,1.8,610911,265600,16.29941338,73.6387063,9.37400000000001,5,10.793000000000005,9.253600400000002,12.9344003,20.481084255,69.41492070999999,67.69999999999999,1,1,0,0,7
20849,Basel,1995-01-29,1995,1,29,8,0,0,0,0,2,4,4,5,1,2,0,10.7,3.02,9,5.8,61.4,10.9,6.5,610911,265600,5.893534694,79.72239442,6.364,8,7.869000000000005,8.754800200000002,11.033800200000002,11.096474037,76.68055036,64.79999999999998,1,1,0,0,1
20850,Basel,1995-01-30,1995,1,30,12,1,0,1,0,4,7,5,7,3,1,1,9.5,2.53333333333333,7,0.2,78.8,9.4,7.9,610911,265600,17.63512128,74.80018655,7.052,11,6.708,8.600000000000001,9.038600200000001,11.764327987,77.261290485,70.09999999999998,1,1,0,0,2
20851,Basel,1995-01-31,1995,1,31,3,0,0,0,1,3,0,3,3,0,0,0,6,-0.85,1.7,-1.7,78.6,6.2,-1.7,610911,265600,44.08914766,30.167719,27.09,3,17.070999999999998,12.418400000000002,9.5632002,30.86213447,52.483952775000006,78.69999999999997,1,1,0,0,3
20852,Basel,1995-02-01,1995,2,1,2,0,0,0,0,1,1,1,0,0,1,1,11.8,2.06666666666667,4.7,-0.4,72.7,11.9,-0.4,610911,265600,56.02385679,16.301620110000002,37.925999,1,32.5079995,17.5611998,12.908600100000001,50.056502225,23.234669555000004,75.64999999999998,1,1,0,0,4
20853,Basel,1995-02-02,1995,2,2,6,0,0,0,0,2,2,4,2,2,1,1,7.3,4.11666666666667,4.3,1.6,83.8,7.3,1.6,610911,265600,57.26237845,26.07952311,38.958,5,38.441999499999994,23.4779998,16.3658001,56.64311762,21.19057161,78.24999999999997,1,1,0,0,5
20854,Basel,1995-02-03,1995,2,3,7,0,0,1,1,1,3,4,3,1,2,1,7.5,2.05,4.4,1.7,85.2,7.6,1.7,610911,265600,60.05837393,8.483391265,45.924004,6,42.441002,31.390000599999997,20.0724004,58.66037619,17.2814571875,84.49999999999997,1,1,0,0,6
20855,Basel,1995-02-04,1995,2,4,8,0,0,0,1,2,6,2,3,1,1,3,6.9,3.26666666666667,4.5,3,89.4,7.4,3,610911,265600,48.63090835,47.52848653,34.314003,5,40.1190035,36.8424012,22.7212006,54.34464114,28.005938897500002,87.29999999999998,1,1,0,0,7
20856,Basel,1995-02-05,1995,2,5,10,0,0,0,0,3,4,6,3,3,2,2,9.4,5.8,6.8,4.1,88.4,9.6,4.6,610911,265600,48.8063656,18.66039271,23.736,8,29.025001500000002,36.1716012,24.2950006,48.718636974999995,33.09443962,88.89999999999998,1,1,0,0,1
20857,Basel,1995-02-06,1995,2,6,8,1,0,0,0,3,4,4,2,2,2,2,9.9,7.3,6.8,3.4,86.6,10.1,3.4,610911,265600,43.47101681,26.30977099,33.282001,6,28.5090005,35.2428016,26.402000700000002,46.138691205,22.48508185,87.49999999999997,1,1,0,0,2
